bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"20.4816875433109,59.909787844887276,21.063007025000314,60.226263223006285",uuuu,0,,3ee58accd611ca30a00eba7833947776,,ceddddd64737c4c271699abccf29c071,60.090752,20.753145,907198465,uuuu,FI,FI,1470851982,60.065472,20.728697,0,Sottunga,-1,907/198/465/907198465.geojson,localadmin,0,,,,FI
"25.80100237158133,60.04469721534078,26.65639672570322,60.66135796128119",uuuu,85633143,,0df5f94e8f82a66c5950af7064d0afdb,,adffb5b8dde84f08109e4cd8189bb2c8,60.366590,26.240885,907198469,uuuu,FI,FI,1481176826,60.313799,26.282880,0,Loviisa,85683067,907/198/469/907198469.geojson,localadmin,85683067,figov,,,FI
"19.161173381594704,60.02487264159792,19.682896398973536,60.61151204065598",uuuu,0,,5ca42ac686b6c091ce91c04188f8ac2d,,69ae35fea5312dfe1e24445066e4e5e7,60.299116,19.425151,907198473,uuuu,FI,FI,1470851983,60.247127,19.537342,0,Eckero,-1,907/198/473/907198473.geojson,localadmin,0,,,,FI
"19.083200070586386,59.95641043198496,19.849324940400752,60.66578740275695",uuuu,0,,f7aebeb4ba8f7aacdaf0bbe09f2ba15d,,3a129a8a40a2c6aec2538f1997e4dbe0,60.310949,19.446326,907198477,uuuu,FI,FI,1470851984,60.539796,19.438309,0,Hammarland,-1,907/198/477/907198477.geojson,localadmin,0,,,,FI
"19.6582833656164,59.595063881346626,20.257942369514293,60.14323945279636",uuuu,0,,af29305d86ef1765bd61519360b6d762,,0733d13f0c3229dc0fc0ac4db64ad7bd,59.879900,19.965467,907198483,uuuu,FI,FI,1470851985,59.849754,19.936087,0,Lemland,-1,907/198/483/907198483.geojson,localadmin,0,,,,FI
"19.940647218160525,59.466085957766204,20.771624133776683,60.15107055831633",uuuu,0,,fb664ab794609fef49ce7d7d6d14661a,,85e48f2de7d6592212f5f223da81c482,59.818001,20.364907,907198485,uuuu,FI,FI,1470851985,59.836703,20.393330,0,Foglo,-1,907/198/485/907198485.geojson,localadmin,0,,,,FI
"19.423645075686604,59.79168332335909,20.133477580483127,60.210749179781395",uuuu,0,,72e1be303875ce7220e02a1320064258,,87ab54c75fd549eae5a8d3dfd329e5bc,60.017397,19.742662,907198489,uuuu,FI,FI,1470851986,60.004472,19.718401,0,Jomala,-1,907/198/489/907198489.geojson,localadmin,0,,,,FI
"20.133477580483127,60.04159950818034,20.340549548636915,60.17669723348433",uuuu,0,,5ff0433b3b95e12cbd3c12a03b41bf9f,,9ec0a72da5208ad0ffe1c8295d7e2ed6,60.116576,20.241492,907198491,uuuu,FI,FI,1470851987,60.125152,20.243063,0,Lumparland,-1,907/198/491/907198491.geojson,localadmin,0,,,,FI
"20.219051869818905,60.100889253408795,20.63576313936745,60.46648072989625",uuuu,0,,cd6ce98330b5732da2f0adcff8a45f24,,31ccc8972bf82e104e500f6dc6f1c55c,60.293957,20.421869,907198495,uuuu,FI,FI,1470851987,60.289587,20.436377,0,Vardo,-1,907/198/495/907198495.geojson,localadmin,0,,,,FI
"20.01759220870845,60.14323945279636,20.329824638148928,60.34105641966041",uuuu,85633143,,907322106cdaeaf94fc5abdeb3f133a8,,f3b13e76c69810f368c4ef7077f0cd8e,60.231102,20.169455,907198499,uuuu,FI,FI,1470851988,60.221055,20.167796,0,Sund,85667867,907/198/499/907198499.geojson,localadmin,85667867,,,,FI
"19.47324711088191,60.30843176007036,19.994214441529426,60.70834398762654",uuuu,0,,63afa2867c9130ffbb304d3fff02852c,,3ba3cdc420ea5e26147d793bc9348aeb,60.525079,19.737276,907198503,uuuu,FI,FI,1470851988,60.562004,19.719845,0,Geta,-1,907/198/503/907198503.geojson,localadmin,0,,,,FI
"22.65892363831371,59.6109994386779,23.29516776954821,59.93716682888193",uuuu,85633143,,4c3d0b99c88812093779431e5037a18d,,cfea928523dae3cd7a5b24c9e96749ad,59.765962,22.999336,907198505,uuuu,FI,FI,1481176826,59.765470,23.005417,0,Hanko,85683067,907/198/505/907198505.geojson,localadmin,85683067,figov,,,FI
"23.75265748440022,59.75169602715319,24.31628364068774,60.15011723994576",uuuu,85633143,,fcae0fc865cd57370d3fa437c1d5c2fd,,9c88479b7d7a9f3360d4a73701e03c8a,59.960416,24.054990,907198509,uuuu,FI,FI,1481176826,59.955146,24.049604,0,Inkoo,85683067,907/198/509/907198509.geojson,localadmin,85683067,figov,,,FI
"24.27206538141515,59.79156987479509,24.83141252089247,60.29770679732645",uuuu,85633143,,ad68281350141212e95e9bbf9bb57b8a,,0b9581533f1d64e01daaf61abe833c44,60.011268,24.495889,907198511,uuuu,FI,FI,1481176826,59.987781,24.500165,0,Kirkkonummi,85683067,907/198/511/907198511.geojson,localadmin,85683067,figov,,,FI
"24.49930213557342,59.90140478437409,24.94229984156589,60.36390070230066",uuuu,85633143,,dda5adc772e20b017494fd8015f0b5b5,,1461a8ee95fb585bd9b4b976f694a19d,60.164108,24.713587,907198517,uuuu,FI,FI,1481176826,60.135897,24.716896,0,Espoo,85683067,907/198/517/907198517.geojson,localadmin,85683067,figov,,,FI
"25.10218863904535,59.93709830611737,25.52691797934689,60.50623384739512",uuuu,85633143,,7399c3dda5e463b3d2290d02589fa5be,,ed466feed235f5c463f792d5612b0ea1,60.224650,25.286064,907198521,uuuu,FI,FI,1481176826,60.250776,25.342228,0,Sipoo,85683067,907/198/521/907198521.geojson,localadmin,85683067,figov,,,FI
"25.32928847012939,59.92819584928402,26.27129758696387,60.55099751201205",uuuu,85633143,,bdff9d0c620de80be37d364c534d7566,,ea23944edd24218fbb7796769d9d431c,60.185899,25.727853,907198525,uuuu,FI,FI,1481176826,60.163154,25.727500,0,Porvoo,85683067,907/198/525/907198525.geojson,localadmin,85683067,figov,,,FI
"19.74174596078185,60.18052040009447,20.02678530174757,60.45091367326135",uuuu,85633143,,6033cc58b48ae08826c7d924f3e997be,,6e2728f02bc097604e71219fbf364b56,60.270384,19.902272,907198529,uuuu,FI,FI,1470851994,60.259693,19.886349,0,Finstrom,85667835,907/198/529/907198529.geojson,localadmin,85667835,,,,FI
"19.797854638904084,60.22989157979169,20.5640371885705,60.76200235680307",uuuu,0,,5ec3153fd2b4929f6f841769b5991df9,,a3fbece396a74369ed869ed43ad61d8a,60.521499,20.099652,907198535,uuuu,FI,FI,1470851994,60.563327,20.095630,0,Saltvik,-1,907/198/535/907198535.geojson,localadmin,0,,,,FI
"23.97132673000571,60.4703991716809,24.46490446931713,60.64452157466437",uuuu,85633143,,189b31abeefd530a6b6b3f863cf1b368,,df146310f0b75857e79c2d834f9de54b,60.556943,24.238146,907198539,uuuu,FI,FI,1481176827,60.554938,24.196961,0,Karkkila,85683067,907/198/539/907198539.geojson,localadmin,85683067,figov,,,FI
"25.41427222916766,60.46991109534243,25.82322708236016,60.61413352794801",uuuu,85633143,,3a2dcbacb6ed216d732b5aa5f7359830,,02c0b22da5852d10a2ae40fe881cf7d4,60.542451,25.614210,907198543,uuuu,FI,FI,1481176827,60.541697,25.618151,0,Askola,85683067,907/198/543/907198543.geojson,localadmin,85683067,figov,,,FI
