bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"24.7828044415153,59.9225115912006,25.254496670834,60.2978394090452",uuuu,85633143,,83738370bdf1528968d14da303903828,,7e97939f71c78d520e969ec95770f15f,60.113944,25.017096,101748417,uuuu,FI,FI,1492124069,60.207870,24.999350,101748417,Helsinki,907199715,101/748/417/101748417.geojson,locality,85683067,hkigis,,,FI
"24.7461845340154,60.2372155411436,25.1930752392541,60.4012268797765",uuuu,85633143,,02718dbe193e563f2d8b7858346b9a26,,d6d3fc3425218d247d96694beae83c0b,60.313278,24.950629,101748419,uuuu,FI,FI,1492021780,60.316480,24.854328,101748419,Vantaa,907199651,101/748/419/101748419.geojson,locality,85683067,mz,,,FI
"22.06613697613371,60.33351495098244,22.45816367963775,60.73729277058766",uuuu,85633143,,73f36aed2127bd2dd27aed92bc71db68,,259ddca4d0d8e5c4238fbf56d17ac210,60.470950,22.264365,101748421,uuuu,FI,FI,1492020895,60.398454,22.185732,101748421,Turku,907198909,101/748/421/101748421.geojson,locality,85683073,mz,,,FI
"23.5422958076,61.4273684545,24.1185112793,61.8367347032",uuuu,85633143,,6e8c27f77730fc40af2f9de95a2bd63d,,e05a07712f99c6d4373e967fefb9383c,61.629291,23.881442,101748431,uuuu,FI,FI,1492020134,61.626110,23.881460,101748431,Tampere,907199231,101/748/431/101748431.geojson,locality,85683099,mz,,,FI
"24.499291110226,59.9014033851297,24.9425927607259,60.3638030734883",uuuu,85633143,,71226cecf866630da4733964c357a12d,,6a1bfd833142cdafd229ee4295a8fda5,60.164064,24.713594,101748415,uuuu,FI,FI,1491959220,60.209560,24.651040,101748415,Espoo,907198517,101/748/415/101748415.geojson,locality,85683067,hkigis,,,FI
"21.68358229829317,61.40306871291415,21.94942286816672,61.53203194425765",uuuu,85633143,,aa6ba602db0ea534c152333f0b4a17f7,,aa020fced65f6ad4505600901529d331,61.474943,21.820916,101748427,uuuu,FI,FI,1470852472,61.477527,21.811598,101748427,Pori,85683095,101/748/427/101748427.geojson,locality,85683095,quattroshapes,,,FI
"26.8359236474073,60.443611,27.00653922257698,60.56138600000025",uuuu,85633143,,cbb52947ed3a89835c90e61f37808292,,614180838574a7325f70e2accce3816d,60.508353,26.915612,101748423,uuuu,FI,FI,1470852452,60.522500,26.909494,101748423,Kotka,85683081,101/748/423/101748423.geojson,locality,85683081,quattroshapes,,,FI
"25.54282750000004,60.92079053908878,25.82893526549418,61.04401000000024",uuuu,85633143,,c4d798e603599a7c0cc7cd19fe5758d0,,b8ff545871e4782fa54dae1a405a3059,60.984162,25.670823,101748425,uuuu,FI,FI,1470852443,60.980831,25.673250,101748425,Lahti,85683091,101/748/425/101748425.geojson,locality,85683091,quattroshapes,,,FI
"28.07858064957065,61.01614816687993,28.36459837904471,61.09490609557935",uuuu,85633143,,5767e5a44d2ff4018a8d3413728b9dfd,,6d3afbe7b908c9bfabbf45172f967fbb,61.058016,28.210488,101748433,uuuu,FI,FI,1479773135,61.052855,28.208116,101748433,Lappeenranta,907198887,101/748/433/101748433.geojson,locality,85683103,quattroshapes,,,FI
"21.53810977910069,63.05847820268997,21.75791083702228,63.1593964100436",uuuu,85633143,,2c30a8c4dbc565ec515f253ec26db162,,e1cc6a048360b487335694d09918a854,63.103094,21.646685,101748437,uuuu,FI,FI,1470852486,63.097908,21.639103,101748437,Vaasa,85683119,101/748/437/101748437.geojson,locality,85683119,quattroshapes,,,FI
"29.68595100000016,62.571285,29.88148071951491,62.63421650000009",uuuu,85633143,,9a89701da4a8b2bdeca0a94f36009b8c,,44b5b92017026d3d8dcee3d7b79fdc2a,62.607600,29.784883,101748441,uuuu,FI,FI,1470852529,62.603070,29.786187,101748441,Joensuu,85683133,101/748/441/101748441.geojson,locality,85683133,quattroshapes,,,FI
"25.63417827296638,62.17116050662071,25.8279150374492,62.31548524314394",uuuu,85633143,,76595a0192b361e7ead6a2ed7d7b396a,,204a173abdfe062a3fdb922c2cad9d19,62.243451,25.742122,101748435,uuuu,FI,FI,1477508531,62.232328,25.718094,101748435,Jyväskylä,85683117,101/748/435/101748435.geojson,locality,85683117,quattroshapes,,,FI
"26.9484499812,62.7682122252,28.1771902668,63.3065545164",uuuu,85633143,,d0b2204ea573ad22a9d08cfdb4ac8505,,f78e5708252ccbd851bc11d6698fd7df,62.932315,27.705810,101748439,uuuu,FI,FI,1492016584,62.856937,27.648468,101748439,Kuopio,907199673,101/748/439/101748439.geojson,locality,85683131,mz,,,FI
"24.1184868443,64.8444161671,26.7715640889,65.5727075517",uuuu,85633143,,790c6896326de67eabf7432b795451dc,,4d97d397e2717184ee40e359440f5e86,65.153981,25.760853,101748443,uuuu,FI,FI,1492019319,65.160510,25.786963,101748443,Oulu,907199459,101/748/443/101748443.geojson,locality,85683143,mz,,,FI
"22.11383910083731,60.46764319027642,22.21172473776238,60.51515135864588",uuuu,85633143,,cf374d73038fad6b2975ad2fd0d40771,,857a1beff5164f2e7b418969834a8a74,60.487459,22.161192,101753035,uuuu,FI,FI,1477508535,60.484348,22.165011,101753035,Raisio,85683073,101/753/035/101753035.geojson,locality,85683073,quattroshapes,,,FI
"21.98617118272517,60.44148343015621,22.120735585045,60.50509758399113",uuuu,85633143,,9dc12cd289f75dd5010a1195e94f79c2,,f8873adc74693a2b6dc94648dcf821c8,60.474175,22.059982,101753039,uuuu,FI,FI,1470852473,60.480470,22.052754,101753039,Naantali,85683073,101/753/039/101753039.geojson,locality,85683073,quattroshapes,,,FI
"25.45430001374979,60.97445771201683,25.56326079866221,61.01839225493916",uuuu,85633143,,ee271b205a3f2401c86a95a7b62cf8f5,,29fb059ecbded64763247e73c79df564,60.992171,25.516886,101753041,uuuu,FI,FI,1472227635,60.988466,25.533752,101753041,Hollola,85683091,101/753/041/101753041.geojson,locality,85683091,quattroshapes,,,FI
"21.87410045408109,61.43803579801533,21.90031940491622,61.45643779595855",uuuu,85633143,,44fc6c0c8550ec1cd5a9e2cfb3fad3b8,,0794b8d88f6e9dca44d00d416f6edf2b,61.447145,21.888610,101753043,uuuu,FI,FI,1477508535,61.449137,21.891736,101753043,Ulvila,85683095,101/753/043/101753043.geojson,locality,85683095,quattroshapes,,,FI
"23.45878618655354,61.43545953905681,23.56064806861622,61.50161735420761",uuuu,85633143,,255ca9a6daa17cc182a4fe27e88b3936,,4c8e276f63662da2ba3cd14d39efc569,61.475172,23.502605,101753045,uuuu,FI,FI,1470852488,61.479466,23.501890,101753045,Nokia,85683099,101/753/045/101753045.geojson,locality,85683099,quattroshapes,,,FI
