bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"24.92718674583981,60.15728122981245,24.94510890810165,60.16518088089131",uuuu,85633143,,dfbb495c1abd1489707cfc0c2d29e548,,a1b3e130f968f777e73ad48611bb854f,60.160853,24.936679,85907887,uuuu,FI,FI,1492125294,60.160701,24.934095,101748417,Punavuori,1108727335,859/078/87/85907887.geojson,neighbourhood,85683067,hkigis,,1108727161,FI
"24.91548488096463,60.2453259005788,24.95094559316306,60.25714389079275",uuuu,85633143,,260881ed28e50531dcf6f9839c529356,,be0dec15d9a45f2c8fdaa190d590c474,60.251480,24.931851,85907965,uuuu,FI,FI,1492125294,60.250679,24.927677,101748417,Paloheina,890537257,859/079/65/85907965.geojson,neighbourhood,85683067,hkigis,,,FI
"24.88434155347092,60.19380571043525,24.90171016371592,60.20878404353735",uuuu,85633143,,071c828170e445e62cd3c71ecb02c51c,,9b44d73878d962156863707fa3f13eeb,60.201924,24.894338,85907967,uuuu,FI,FI,1492125294,60.204328,24.893970,101748417,Pikku Huopalahti,1108727373,859/079/67/85907967.geojson,neighbourhood,85683067,hkigis,,,FI
"24.88508485818293,60.21843964085828,24.91463773664846,60.23554150756948",uuuu,85633143,,02943468ad6e091b4a5eb50b5cd1f188,,71975dc954d572b9d9577d3e9be38b72,60.226896,24.898263,85907969,uuuu,FI,FI,1492125294,60.226375,24.897407,101748417,Pohjois-Haaga,890537273,859/079/69/85907969.geojson,neighbourhood,85683067,hkigis,,,FI
"24.89516669525598,60.15878361485722,24.92245131644402,60.16991837237364",uuuu,85633143,,5499cedd350b9d35b1ee31d76834972c,,4d0614e1142a73873c7400213f1a5a0a,60.163851,24.906152,85907971,uuuu,FI,FI,1492125294,60.165162,24.907522,101748417,Ruoholahti,-3,859/079/71/85907971.geojson,neighbourhood,85683067,hkigis,,1108727175,FI
"24.93663561200373,60.14662358517272,24.96038945159996,60.16468051790989",uuuu,85633143,,222c289f7be548fadab6910fe887d710,,5c0113e656116b7058a5c283e12da30b,60.154867,24.947440,85907973,uuuu,FI,FI,1492125294,60.156690,24.947050,101748417,Ullanlinna,1108727335,859/079/73/85907973.geojson,neighbourhood,85683067,hkigis,,1108727227,FI
"24.94120702774149,60.16287163738001,24.95804791274698,60.16814275017833",uuuu,85633143,,a5f5eea6eef27ec0c4d7d9c6ec98dfce,,509598fc4adfd988bfdf6ffbd1b78e73,60.165767,24.950074,85907975,uuuu,FI,FI,1492125294,60.165844,24.950294,101748417,Kaartinkaupunki,1108727335,859/079/75/85907975.geojson,neighbourhood,85683067,hkigis,,1108727023,FI
"24.93262649412183,60.19563880485293,24.94772001906069,60.20885049588215",uuuu,85633143,,afdfdc8d3a595322d6fe5e0f5252723a,,62eb4096687ace1405f4538710a4b9d9,60.202293,24.939660,85907977,uuuu,FI,FI,1492125294,60.201894,24.939911,101748417,Ita-Pasila,890537255,859/079/77/85907977.geojson,neighbourhood,85683067,hkigis,,,FI
"24.93262867116331,60.18516252369288,24.94934307695455,60.19577737118733",uuuu,85633143,,3d5b16b1cb44ae6bed219e380e1b3ce6,,bed19fbf41a61d0ccd8966fa0c020469,60.190408,24.939674,85907981,uuuu,FI,FI,1492125294,60.189538,24.940634,101748417,Alppila,890537245,859/079/81/85907981.geojson,neighbourhood,85683067,hkigis,,,FI
"24.96355482550464,60.19826682323465,24.99797287095356,60.21199082234453",uuuu,85633143,,c47f59dc9fcc390b8cd74b490efd0cc7,,dec39d15747e124aab03481c57b8d33d,60.204464,24.980452,85907983,uuuu,FI,FI,1492125294,60.204115,24.976209,101748417,Arabianranta,1108727357,859/079/83/85907983.geojson,neighbourhood,85683067,hkigis,,,FI
"24.9122220862483,60.23449438876532,24.94796507305558,60.2490302469843",uuuu,85633143,,1138f7c41a62d638db492c6dc13a5d2a,,f54e19b6340044d9b71805165ff3c3ae,60.241477,24.930999,85907985,uuuu,FI,FI,1492125294,60.241376,24.928663,101748417,Lansi-Pakila,1108727381,859/079/85/85907985.geojson,neighbourhood,85683067,hkigis,,,FI
