bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"24.928541961,60.1604725182,24.9464943045,60.1677625635",uuuu,85633143,uuuu,b432c5b4ba257dcaa4b7392cf75a2087,,af00da5a237942c3bc0cb6ab12d89c5c,60.163256,24.938856,421472987,uuuu,FI,FI,1485373931,60.163509,24.938108,101748417,00120,101748417,421/472/987/421472987.geojson,postalcode,85683067,figov,,,FI
"24.9425769845,60.1605820896,24.9576407972,60.1679146989",uuuu,85633143,uuuu,6f907862509a4c12ea99afba861e64ab,,b9f05707e165ff54dfa8e0fd977a7dba,60.164452,24.949849,421472989,uuuu,FI,FI,1485373928,60.164251,24.949993,101748417,00130,101748417,421/472/989/421472989.geojson,postalcode,85683067,figov,,,FI
"24.942903917,60.1039007561,24.9761190035,60.1624099335",uuuu,85633143,uuuu,527e6292f3fd75c140f3c8f3ff7eabf1,,04855818d7fbdf6e3d39aaaecb6c31cc,60.155797,24.955136,421472991,uuuu,FI,FI,1485373928,60.15778,24.954234,101748417,00140,101748417,421/472/991/421472991.geojson,postalcode,85683067,figov,,,FI
"24.9098511502,60.1358912554,24.946784366,60.1615003107",uuuu,85633143,uuuu,fe779b4af22ec23ca37a81b06106b636,,3252e7a626358ecdf1bbc5805db6f76b,60.153522,24.930539,421472993,uuuu,FI,FI,1485373930,60.156014,24.928611,101748417,00150,101748417,421/472/993/421472993.geojson,postalcode,85683067,figov,,,FI
"24.9589208733,60.1633504596,24.9801217159,60.1694578964",uuuu,85633143,uuuu,473c0604d43b9a9b01b6d8ff0ecce315,,9c214f3b9ef1aa7c2eeed12a18819122,60.166767,24.969306,421472995,uuuu,FI,FI,1485373928,60.166123,24.969306,101748417,00160,101748417,421/472/995/421472995.geojson,postalcode,85683067,figov,,,FI
"24.9418706725,60.1667243018,24.9619981239,60.1775312931",uuuu,85633143,uuuu,d4f599f083d9e607afb54c80adec4c03,,fc78f2c5452a1ca4029ce0aadf4792c0,60.173347,24.953762,421472999,uuuu,FI,FI,1485373928,60.173086,24.954448,101748417,00170,101748417,421/472/999/421472999.geojson,postalcode,85683067,figov,,,FI
"24.8983083919,60.1507389817,24.93521214,60.1702985219",uuuu,85633143,uuuu,0bb6f453d1ed82f4c17183f6d4fafba9,,4bb6b10b38712b46721063abc5364c66,60.162662,24.914697,421473001,uuuu,FI,FI,1485373930,60.163651,24.914422,101748417,00180,101748417,421/473/001/421473001.geojson,postalcode,85683067,figov,,,FI
"24.9712395861,60.1378052256,24.9940926769,60.1548944456",uuuu,85633143,uuuu,cca7e8a5ba0a30f6dd8f437132b8fba8,,d33008f4f79e6831e19395811f0de3e8,60.144956,24.984822,421473003,uuuu,FI,FI,1485373930,60.141644,24.986063,101748417,00190,101748417,421/473/003/421473003.geojson,postalcode,85683067,figov,,,FI
"24.8394516351,60.1483995464,24.8940505975,60.1704576018",uuuu,85633143,uuuu,38827e80f7b7c35089c8984d4487756d,,fe6c93084277d2bf7c4d738386d9bf14,60.160256,24.869313,421473005,uuuu,FI,FI,1485373929,60.159409,24.87119,101748417,00200,101748417,421/473/005/421473005.geojson,postalcode,85683067,figov,,,FI
"24.8288635495,60.0995783232,24.8950732315,60.1576981778",uuuu,85633143,uuuu,befea43969f4210c52fc15b29d273520,,8b416f0032abdaa158ee2acdc257b902,60.142881,24.880375,421473007,uuuu,FI,FI,1485373932,60.150963,24.884016,101748417,00210,101748417,421/473/007/421473007.geojson,postalcode,85683067,figov,,,FI
