bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"22.65892363831371,59.6109994386779,26.656396725703217,60.840851191542555",uuuu,85633143,,65638f8d233b08b6792456b8eba3e99a,,36920290a6e63e1f3807b18afb400b3a,60.215820,24.760255,85683067,uuuu,FI,FI,1470676330,60.276941,24.790343,0,Uusimaa,404227411,856/830/67/85683067.geojson,region,85683067,quattroshapes,,,FI
"20.377543432832063,59.475642938816065,23.92054910951664,61.13347958680344",uuuu,85633143,,511779065be3621de37731b3ae46a905,,78c17e7abc49b6379f1693d8172a4485,60.362935,22.131388,85683073,uuuu,FI,FI,1470676331,60.201400,22.011269,0,Southwest Finland,404227405,856/830/73/85683073.geojson,region,85683073,quattroshapes,,,FI
"23.135638134244896,60.55249148031296,25.269662759967346,61.32488132705843",uuuu,85633143,,87619ae5c78814c6881a007b7884bd56,,f0e222d64e219c2752f4c3edf45be3cb,60.918933,24.325426,85683077,uuuu,FI,FI,1470676333,60.908442,24.414319,0,Tavastia Proper,404227411,856/830/77/85683077.geojson,region,85683077,quattroshapes,,,FI
"26.039818917372994,60.17132863246899,27.991282811324243,61.29257864900661",uuuu,85633143,,3ab59038335d34b0c871b0c8da573b9a,,495222ec51e0fb13980d31149d6f7a61,60.707661,26.945675,85683081,uuuu,FI,FI,1470676338,60.598743,26.946140,0,Kymenlaakso,404227411,856/830/81/85683081.geojson,region,85683081,quattroshapes,,,FI
"26.44510849999978,61.32334149999983,26.51008599999977,61.35169999999982",uuuu,85633143,,a5c6a4cd05430114a6e22390d9d8b3dc,,24f83843c514c1f2f0de2dec4ff70145,61.338171,26.478831,85683085,uuuu,FI,FI,1477509256,61.336592,26.478831,0,Päijänne-Tavastia,404227411,856/830/85/85683085.geojson,region,85683085,quattroshapes,,,FI
"24.85549033674025,60.67147626545035,26.51366263379851,61.80140787981895",uuuu,85633143,,dea3240814c602a51c9abfa6b136f53a,,bee8647395d645ffc469fd5f483a535e,61.211062,25.702393,85683091,uuuu,FI,FI,1470676336,61.207691,25.690159,0,Paijanne Tavastia,404227411,856/830/91/85683091.geojson,region,85683091,quattroshapes,,,FI
"20.773138853928984,60.87200574225196,23.006234309786763,62.31110351927791",uuuu,85633143,,5bcc1c0998496130ba9624a7db4febdd,,f6808e59a188a1e4a41a839cea4f055f,61.524564,21.875194,85683095,uuuu,FI,FI,1470676340,61.522116,21.785369,0,Satakunta,404227405,856/830/95/85683095.geojson,region,85683095,quattroshapes,,,FI
"22.43416013212207,60.93975479855297,24.970479917577045,62.49433390077814",uuuu,85633143,,f8209e2c70b5c8bf2b4dc7b9b4cd0e47,,d42654beccbd4abb98b911b0eb0e522d,61.693571,23.674028,85683099,uuuu,FI,FI,1470676351,61.708766,23.673573,0,Pirkanmaa,404227417,856/830/99/85683099.geojson,region,85683099,quattroshapes,,,FI
"26.220722544400925,61.15130193385476,29.69682562751909,62.65702168105591",uuuu,85633143,,389b033bb24ced7af2a44b5d434e2f39,,42f66b00fe14f1b42e42387e719023f2,61.886257,27.850573,85683109,uuuu,FI,FI,1470676345,61.859012,27.362508,0,Southern Savonia,404227407,856/831/09/85683109.geojson,region,85683109,quattroshapes,,,FI
"21.511577200108643,61.979759584428486,24.58431588683103,63.49804665247343",uuuu,85633143,,8f0503b352cbe2b1a9dc55e64d82f9e4,,937951aabf8212113dbf101b36b87801,62.736842,23.055883,85683113,uuuu,FI,FI,1470676360,62.837066,23.078909,0,Southern Ostrobothnia,404227417,856/831/13/85683113.geojson,region,85683113,quattroshapes,,,FI
"24.013003208987385,61.45070250353919,26.780303387251067,63.61229322864694",uuuu,85633143,,ebe3439bc0807fa50b36ec271f330744,,c0df4d89054ba00f05a93dc6362921b5,62.519232,25.423736,85683117,uuuu,FI,FI,1470676342,62.460613,25.403161,0,Central Finland,404227417,856/831/17/85683117.geojson,region,85683117,quattroshapes,,,FI
"20.16581890493271,61.92166847320279,23.74408122774526,64.00938191272742",uuuu,85633143,,e41f93bdc3504af2eacf484df2fc7bdf,,46b313f6a16d8c5c1696eb3df6ab3198,63.077652,21.640629,85683119,uuuu,FI,FI,1470676355,62.906168,21.073023,0,Ostrobothnia,404227417,856/831/19/85683119.geojson,region,85683119,quattroshapes,,,FI
"22.28787701617756,63.11642950969654,25.03631555526148,64.17896929376249",uuuu,85633143,,6dc68f5392708a50108b2ea86355b7ed,,790e1149d9641e8d6d8bfb7c8b9fa0c0,63.690984,23.843277,85683125,uuuu,FI,FI,1470676362,63.569551,24.186836,0,Central Ostrobothnia,404227417,856/831/25/85683125.geojson,region,85683125,quattroshapes,,,FI
"26.039837790745633,62.141007898063435,29.097602162872235,64.03697382382272",uuuu,85633143,,10a3e9c71bfce7f5b30ec7aebb38e9bd,,794a74a6863d4cb9c7e7019c453e1745,63.155519,27.480417,85683131,uuuu,FI,FI,1470676358,63.208210,27.509305,0,Northern Savonia,404227407,856/831/31/85683131.geojson,region,85683131,quattroshapes,,,FI
"28.359723421230587,61.722072804455614,31.586703940756987,63.88241466808729",uuuu,85633143,,01b9960ae0037f3b18378c9f0352d75f,,43f50bcbc314bdf35a0001d3a6e91707,62.917735,29.939488,85683133,uuuu,FI,FI,1470676349,62.780693,30.049511,0,North Karelen,404227407,856/831/33/85683133.geojson,region,85683133,quattroshapes,,,FI
"26.74840418344325,63.66881147622885,30.553557217410315,65.52085155098642",uuuu,85633143,,0fbc18b52aa4a1466de7f4c32afbc9d0,,3bea0104e3d9c8584e325eb60894a49e,64.521191,28.714346,85683137,uuuu,FI,FI,1470676366,64.642133,28.939827,0,Kainuu,404227415,856/831/37/85683137.geojson,region,85683137,quattroshapes,,,FI
"22.778896749143794,63.42913085227251,30.138463206069357,66.48585323275728",uuuu,85633143,,f0b7379289919133faa749bdc8457d35,,b79039858df30a6f087193661d7d88db,64.927920,26.276865,85683143,uuuu,FI,FI,1470676364,64.631833,25.612497,0,Northern Ostrobothnia,404227415,856/831/43/85683143.geojson,region,85683143,quattroshapes,,,FI
"20.548636402019614,65.29248017070428,30.01704433934021,70.09229321300727",uuuu,85633143,,5b961ed7d2f3234a5ebcfd77cbe51b52,,2850f6a33540a09c74956a99f56c6aaa,67.701146,26.300799,85683147,uuuu,FI,FI,1470676370,67.613744,26.765912,0,Lapland,404227409,856/831/47/85683147.geojson,region,85683147,quattroshapes,,,FI
"27.121069429434698,60.666658060870226,30.143955960968857,61.86431643674153",uuuu,85633143,,9addda06d503845dc416d6bcb4fccb89,,b253144a0d0762cdf8e77422ce03311f,61.201423,28.378393,85683103,uuuu,FI,FI,1470676353,61.013798,28.001380,0,South Karelia,404227411,856/831/03/85683103.geojson,region,85683103,quattroshapes,,,FI
