bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"24.5048949466,60.1070294263,24.8447705,60.3134576693",uuuu,85633143,,c7d7b2b1f86a231100b09bf726b383a0,,64076fff81e6ba6b708b47d5dede2913,60.195902,24.713355,101748415,uuuu,FI,FI,1470852432,60.191674,24.780188,101748415,Espoo,85683067,101/748/415/101748415.geojson,locality,85683067,quattroshapes,,,FI
"24.8309365,60.1426775,25.1867744744,60.288448",uuuu,85633143,,19a3ef03715154e181469598bdc811ba,,72308477b177c07082a7f24666ac60bb,60.217736,24.987469,101748417,uuuu,FI,FI,1470852433,60.215399,24.943364,101748417,Helsinki,85683067,101/748/417/101748417.geojson,locality,85683067,quattroshapes,,,FI
"24.779770993,60.23835,25.1577913257,60.3731265",uuuu,85633143,,831e98f2912f7e355ac0fe74c90c231c,,4ecedacf62d03027766df6909b4c6a8b,60.304217,24.999855,101748419,uuuu,FI,FI,1470852433,60.304671,25.012196,101748419,Vantaa,85683067,101/748/419/101748419.geojson,locality,85683067,quattroshapes,,,FI
"22.1179472105,60.4002934972,22.4522737846,60.5214473693",uuuu,85633143,,c5a4f1bc7c0a102c1a2a626facd771b0,,346e8d04e766bbd81701815ff43b59af,60.456584,22.272752,101748421,uuuu,FI,FI,1470852473,60.452932,22.270739,101748421,Turku,85683073,101/748/421/101748421.geojson,locality,85683073,quattroshapes,,,FI
"26.8359236474,60.443611,27.0065392226,60.561386",uuuu,85633143,,cbb52947ed3a89835c90e61f37808292,,52f54cfc7e68ac1ba3238b439b911617,60.508353,26.915612,101748423,uuuu,FI,FI,1470852452,60.5225,26.909494,101748423,Kotka,85683081,101/748/423/101748423.geojson,locality,85683081,quattroshapes,,,FI
"25.5428275,60.9207905391,25.8289352655,61.04401",uuuu,85633143,,c4d798e603599a7c0cc7cd19fe5758d0,,c9c97cfc6bf67c92fb93e244bdd37507,60.984162,25.670823,101748425,uuuu,FI,FI,1470852443,60.980831,25.67325,101748425,Lahti,85683091,101/748/425/101748425.geojson,locality,85683091,quattroshapes,,,FI
"21.6835822983,61.4030687129,21.9494228682,61.5320319443",uuuu,85633143,,aa6ba602db0ea534c152333f0b4a17f7,,d3d73d76d1e83db12cbeb4f7c52cc170,61.474943,21.820916,101748427,uuuu,FI,FI,1470852472,61.477527,21.811598,101748427,Pori,85683095,101/748/427/101748427.geojson,locality,85683095,quattroshapes,,,FI
"23.5591173344,61.4037962992,24.055988305,61.5597598453",uuuu,85633143,,f5abb850ce5dd953f79465ad7e251fd9,,dd4c21d0055416c052eda17e57d35712,61.486845,23.785838,101748431,uuuu,FI,FI,1470852488,61.487002,23.790636,101748431,Tampere,85683099,101/748/431/101748431.geojson,locality,85683099,quattroshapes,,,FI
"28.0785806496,61.0161481669,28.364598379,61.0949060956",uuuu,85633143,,5767e5a44d2ff4018a8d3413728b9dfd,,deea2009e0cf06680f71814959e817c0,61.058016,28.210488,101748433,uuuu,FI,FI,1479773135,61.052855,28.208116,101748433,Lappeenranta,907198887,101/748/433/101748433.geojson,locality,85683103,quattroshapes,,,FI
"25.634178273,62.1711605066,25.8279150374,62.3154852431",uuuu,85633143,,76595a0192b361e7ead6a2ed7d7b396a,,52a644cb4287b265ff54c7f229dbb035,62.243451,25.742122,101748435,uuuu,FI,FI,1477508531,62.232328,25.718094,101748435,Jyväskylä,85683117,101/748/435/101748435.geojson,locality,85683117,quattroshapes,,,FI
