bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"23.6792700196,61.4563311026,23.7698035249,61.5340044903",uuuu,85633143,,19edc7fdfc3502aac2681a83df7d9151,,24693bcb45a348b87ad84e884ea1a889,61.492828,23.728061,85898815,uuuu,FI,FI,1470852511,61.492581,23.733442,101748431,Amuri,101748431,858/988/15/85898815.geojson,neighbourhood,85683099,quattroshapes,,,FI
"21.5589086914,63.0735704257,21.6613061524,63.1308470584",uuuu,85633143,,a8dfc020cd69fc61eda066a1952dfcf2,,a2fa713fecf06bdb0ff9966d1b349a0b,63.100353,21.606692,85898819,uuuu,FI,FI,1470852502,63.102012,21.607664,101748437,Dragnäsbäck,101748437,858/988/19/85898819.geojson,neighbourhood,85683119,quattroshapes,,,FI
"24.9279785156,60.1626927943,24.9394885621,60.1688416137",uuuu,0,,c46d7cf4653cfb24fdd58b4138666523,,85201aa379c39ddff0daffccc7d9588b,60.165541,24.934045,85898821,uuuu,FI,FI,1470852574,60.164401,24.933084,0,Etu-Töölö,890536879,858/988/21/85898821.geojson,neighbourhood,0,quattroshapes,,,FI
"25.0598144531,60.2331370588,25.1219995118,60.2697902735",uuuu,85633143,,0108c6dcbc39d7a32269739e2b2e12e1,,1387230d892afd6ff54aa4f9874bcbf3,60.249172,25.088582,85898823,uuuu,FI,FI,1470852559,60.24607,25.084917,101748417,Gränsby,890537253,858/988/23/85898823.geojson,neighbourhood,85683067,quattroshapes,,,FI
"24.8620605453,60.2080811082,24.9286559622,60.2261750995",uuuu,85633143,,db9edcfda7c0f9895080123c822dd7d0,,48b1e40291421c5c7d4354f521315d4d,60.218188,24.894795,85898825,uuuu,FI,FI,1470852576,60.219354,24.885432,101748417,Haga,890537273,858/988/25/85898825.geojson,neighbourhood,85683067,quattroshapes,,,FI
"27.6013891602,62.8463985894,27.7367456055,62.9314850525",uuuu,85633143,,54706ad8d665978a955ae403de3b9a87,,c25df87e4f796dd152e74c18178c6aec,62.88714,27.666378,85898827,uuuu,FI,FI,1470852566,62.885935,27.665357,101748439,Haapaniemi,101748439,858/988/27/85898827.geojson,neighbourhood,85683131,quattroshapes,,,FI
"24.9820533937,60.1373788766,25.0337085509,60.1755978096",uuuu,0,,1dabf27db47eb0afe7cf45573a6df5a0,,a95a697327ecf03308b33be5c6eebd90,60.157577,25.006246,85898829,uuuu,FI,FI,1470852575,60.157885,25.00576,0,Håkansvik,890536879,858/988/29/85898829.geojson,neighbourhood,0,quattroshapes,,,FI
"24.963684082,60.1838672009,24.9774169922,60.2029807463",uuuu,85633143,,ef3983e37fb1f053d066d40c14aa5914,,406c5ea568232d6412c9921cb62b9e8e,60.193828,24.969748,85898831,uuuu,FI,FI,1470852574,60.191462,24.967821,101748417,Hermanni,890537233,858/988/31/85898831.geojson,neighbourhood,85683067,quattroshapes,,,FI
"24.9710927091,60.1797699443,24.9938964844,60.1988859318",uuuu,85633143,,2cbc98510c3637780fd228f47480cde3,,79eebeb5cd6f0fe8157bf219e85017b9,60.189963,24.981957,85898833,uuuu,FI,FI,1470852574,60.190631,24.981958,101748417,Hermanstad,890537231,858/988/33/85898833.geojson,neighbourhood,85683067,quattroshapes,,,FI
"25.009019335,60.1905756293,25.0543212891,60.2098043237",uuuu,0,,e87b7a98d933888bb54d776868c0cf83,,58e86c8c70ce6a89a2dc0fa5b1e6a6aa,60.199367,25.03074,85898837,uuuu,FI,FI,1470852575,60.20025,25.026649,0,Herttoniemi,890537227,858/988/37/85898837.geojson,neighbourhood,0,quattroshapes,,,FI
