bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"0.0,0.0,0.0,0.0",uuuu,0,2016-05-31,8d164bed8eaa052c75b29894d030cc15,,fc4d4085e55d16b479f231dbf54d3cfb,0.0,0.0,421472967,uuuu,FI,FI,1469577621,0,0,0,04110,-1,421/472/967/421472967.geojson,postalcode,0,geoplanet,,,FI
"0.0,0.0,0.0,0.0",uuuu,0,2016-05-31,969f6e23f6b793080066045b1421d7a7,,fc4d4085e55d16b479f231dbf54d3cfb,0.0,0.0,421472969,uuuu,FI,FI,1469577621,0,0,0,29220,-1,421/472/969/421472969.geojson,postalcode,0,geoplanet,,,FI
"0.0,0.0,0.0,0.0",uuuu,0,2016-05-31,eeaa1a636a1e46b87e04c0310920945c,,fc4d4085e55d16b479f231dbf54d3cfb,0.0,0.0,421472971,uuuu,FI,FI,1469577621,0,0,0,51330,-1,421/472/971/421472971.geojson,postalcode,0,geoplanet,,,FI
"0.0,0.0,0.0,0.0",uuuu,85633143,2016-05-31,f721ac21a0faa73d6036d93cc57fc32f,,fc4d4085e55d16b479f231dbf54d3cfb,0.0,0.0,421472973,uuuu,FI,FI,1469577621,0,0,101814023,56530,101814023,421/472/973/421472973.geojson,postalcode,85683103,geoplanet,,,FI
"0.0,0.0,0.0,0.0",uuuu,85633143,2016-05-31,2320c4c9bb3eff221e1f71184715eb84,,fc4d4085e55d16b479f231dbf54d3cfb,0.0,0.0,421472975,uuuu,FI,FI,1469577621,0,0,101847009,73130,101847009,421/472/975/421472975.geojson,postalcode,85683131,geoplanet,,,FI
"0.0,0.0,0.0,0.0",uuuu,0,2016-05-31,c8dcd8e8d556e70dea0b084232dac919,,fc4d4085e55d16b479f231dbf54d3cfb,0.0,0.0,421472977,uuuu,FI,FI,1469577621,0,0,0,74560,-1,421/472/977/421472977.geojson,postalcode,0,geoplanet,,,FI
"0.0,0.0,0.0,0.0",uuuu,0,2016-05-31,dcd1746b94452b7df74c3d78be4c1175,,fc4d4085e55d16b479f231dbf54d3cfb,0.0,0.0,421472981,uuuu,FI,FI,1469577621,0,0,0,88910,-1,421/472/981/421472981.geojson,postalcode,0,geoplanet,,,FI
"0.0,0.0,0.0,0.0",uuuu,0,2016-05-31,7cf04375edc08d8027e0a66964ea1768,,fc4d4085e55d16b479f231dbf54d3cfb,0.0,0.0,421472983,uuuu,FI,FI,1469577621,0,0,0,97930,-1,421/472/983/421472983.geojson,postalcode,0,geoplanet,,,FI
"0.0,0.0,0.0,0.0",uuuu,85633143,2016-05-31,dfd8f20004d471c8418844eabeb66de4,,fc4d4085e55d16b479f231dbf54d3cfb,0.0,0.0,421472985,uuuu,FI,FI,1469577621,0,0,101814225,52650,101814225,421/472/985/421472985.geojson,postalcode,85683117,geoplanet,,,FI
"24.928541961,60.1604725182,24.9464943045,60.1677625635",uuuu,85633143,,8bf6633425abf218008178a1f716e114,,e7d93cf00a94201f10002b636f7e72d7,60.163256,24.938856,421472987,uuuu,FI,FI,1469577621,60.163509,24.938108,101748417,00120,101748417,421/472/987/421472987.geojson,postalcode,85683067,figov,,,FI
"24.9425769845,60.1605820896,24.9576407972,60.1679146989",uuuu,85633143,,2cd463242d684777ed62976c3de78b40,,710acec982b279dbd9ac9aa3970d43e8,60.164452,24.949849,421472989,uuuu,FI,FI,1469577621,60.164251,24.949993,101748417,00130,101748417,421/472/989/421472989.geojson,postalcode,85683067,figov,,,FI
"24.942903917,60.1039007561,24.9761190035,60.1624099335",uuuu,85633143,,9aceafec9625744492ccbc1fb9b72e05,,d4d993a82f5bb3c47fc5da2714c218f9,60.155797,24.955136,421472991,uuuu,FI,FI,1469577621,60.15778,24.954234,101748417,00140,101748417,421/472/991/421472991.geojson,postalcode,85683067,figov,,,FI
"24.9098511502,60.1358912554,24.946784366,60.1615003107",uuuu,85633143,,6c4411f1002a742a2bcec693eb09e7cd,,55df2a155d6c79290bb6203961f9b539,60.153522,24.930539,421472993,uuuu,FI,FI,1469577621,60.156014,24.928611,101748417,00150,101748417,421/472/993/421472993.geojson,postalcode,85683067,figov,,,FI
"24.9589208733,60.1633504596,24.9801217159,60.1694578964",uuuu,85633143,,8074ee5fca1f4cbf5f8a581b0dad1843,,9833bd32dfe817123b2407b9209c6c1b,60.166767,24.969306,421472995,uuuu,FI,FI,1469577621,60.166123,24.969306,101748417,00160,101748417,421/472/995/421472995.geojson,postalcode,85683067,figov,,,FI
"24.9418706725,60.1667243018,24.9619981239,60.1775312931",uuuu,85633143,,271f9ddb7a49e418dfd88c3983ddbe78,,13c38ca226f313fe51cec0b6951f1451,60.173347,24.953762,421472999,uuuu,FI,FI,1469577621,60.173086,24.954448,101748417,00170,101748417,421/472/999/421472999.geojson,postalcode,85683067,figov,,,FI
"24.8983083919,60.1507389817,24.93521214,60.1702985219",uuuu,85633143,,224de4bba5bd3423b205e66853e216d3,,27f6509b6c3f68d4d021b35b0777fdd0,60.162662,24.914697,421473001,uuuu,FI,FI,1469577621,60.163651,24.914422,101748417,00180,101748417,421/473/001/421473001.geojson,postalcode,85683067,figov,,,FI
"24.9712395861,60.1378052256,24.9940926769,60.1548944456",uuuu,85633143,,5791bac7df2cfaa222345017009b539f,,3ee0b435170ebca258f23e38f2e7bdc7,60.144956,24.984822,421473003,uuuu,FI,FI,1469577621,60.141644,24.986063,0,00190,85683067,421/473/003/421473003.geojson,postalcode,85683067,figov,,,FI
"24.8394516351,60.1483995464,24.8940505975,60.1704576018",uuuu,85633143,,5e2531c363c748614ea6f13f60354c0d,,04131ac7ebdeeb39fb4b09bd291186eb,60.160256,24.869313,421473005,uuuu,FI,FI,1469577621,60.159409,24.87119,101748417,00200,101748417,421/473/005/421473005.geojson,postalcode,85683067,figov,,,FI
"24.8288635495,60.0995783232,24.8950732315,60.1576981778",uuuu,85633143,,b0bcf61bf9509c3d69935423b7e6963e,,3c041414469fa53af47e568c913deaf0,60.142881,24.880375,421473007,uuuu,FI,FI,1469577621,60.150963,24.884016,101748417,00210,101748417,421/473/007/421473007.geojson,postalcode,85683067,figov,,,FI
"24.9158117568,60.2119135107,24.9234933705,60.2171386758",uuuu,85633143,,ceda39fe2282b7f04bf5d5920da671a0,,341909c4aab10f2c1cfed277bf4a0eb5,60.214591,24.919687,421473009,uuuu,FI,FI,1469577621,60.214611,24.919687,101748417,00230,101748417,421/473/009/421473009.geojson,postalcode,85683067,figov,,,FI
"24.9100515927,60.1924321593,24.9348091447,60.2164673884",uuuu,85633143,,9a662c3e793c1e2428c81b4786a36876,,351bf107c3ec0d0309cb5be064e08672,60.205062,24.923704,421473011,uuuu,FI,FI,1469577621,60.204199,24.922228,101748417,00240,101748417,421/473/011/421473011.geojson,postalcode,85683067,figov,,,FI
